name,country_mb
Ariana Grande,United States of America
Halsey,United States of America
Travis Scott,United States of America
Post Malone,United States of America
Swae Lee,United States of America
Marshmello,United States of America
Bastille,United Kingdom
Mariah Carey,United States of America
Offset,Italy
Kodak Black,United States of America
Lil Baby,United States of America
Andy Williams,United States of America
Brenda Lee,United States of America
Burl Ives,United States of America
Bobby Helms,United States of America
Gucci Mane,United States of America
Bruno Mars,United States of America
Cardi B,United States of America
Maroon 5,United States of America
Sheck Wes,United States of America
Nat King Cole,United States of America
benny blanco,United States of America
5 Seconds of Summer,Australia
Drake,Canada
Meek Mill,United States of America
Ozuna,United States of America
DJ Snake,France
Selena Gomez,United States of America
Bad Bunny,United States of America
Wham!,United Kingdom
Flipp Dinero,United States of America
Dean Martin,United States of America
The Ronettes,United States of America
José Feliciano,United States of America
Normani,United States of America
Camila Cabello,United States of America
Bazzi,United States of America
J Balvin,Colombia
Perry Como,United States of America
Imagine Dragons,United States of America
Lady Gaga,United States of America
Bradley Cooper,United States of America
John Lennon,United Kingdom
The Harlem Community Choir,United States of America
Yoko Ono,United States of America
Paul McCartney,United Kingdom
Bing Crosby,United States of America
Lil Wayne,United States of America
Swizz Beatz,United States of America
Luke Combs,United States of America
Mitchell Tenpenny,United States of America
Miley Cyrus,United States of America
Mark Ronson,United Kingdom
Ellie Goulding,United Kingdom
Diplo,United States of America
Lauren Daigle,United States of America
Tory Lanez,Canada
Maluma,Colombia
XXXTENTACION,United States of America
Lil Pump,United States of America
Dean Lewis,Australia
Brothers Osborne,United States of America
Dierks Bentley,United States of America
The Chainsmokers,United States of America
Kelsea Ballerini,United States of America
French Montana,United States of America
Billie Eilish,United States of America
Anuel AA,United States of America
Romeo Santos,United States of America
Future,United States of America
Shawn Mendes,Canada
Ava Max,United States of America
Dua Lipa,United Kingdom
Nicki Minaj,United States of America
Chris Stapleton,United States of America
Fabolous,United States of America
Tyga,United States of America
Rick Ross,United States of America
6ix9ine,United States of America
Young Thug,United States of America
Roddy Ricch,United States of America
21 Savage,United States of America
Bobby Shmurda,United States of America
Dan + Shay,United States of America
Trippie Redd,United States of America
Metro Boomin,United States of America
Bebe Rexha,United States of America
Chris Young,United States of America
H.E.R.,Italy
Daniel Caesar,Canada
Kanye West,United States of America
Lil Peep,United States of America
Lauv,United States of America
Queen,United Kingdom
Quavo,United States of America
Joyner Lucas,United States of America
Eminem,United States of America
City Girls,United States of America
Eric Church,United States of America
YG,United States of America
2 Chainz,United States of America
Big Sean,United States of America
Bryce Vine,United States of America
Taylor Swift,United States of America
Takeoff,Philippines
Jessie Reyez,Canada
Calvin Harris,United Kingdom
Sam Smith,United Kingdom
DJ Khaled,United States of America
Justin Bieber,Canada
Chance the Rapper,United States of America
Old Dominion,Hungary
Michael Jackson,United States of America
Grey,United States of America
Zedd,Germany
Chris Janson,United States of America
Steve Aoki,United States of America
P!nk,United States of America
Lil Uzi Vert,United States of America
Cole Swindell,United States of America
Jason Aldean,United States of America
Miranda Lambert,United States of America
Empress Of,United States of America
Lil Yachty,United States of America
BLACKPINK,South Korea
Weezer,United States of America
Playboi Carti,United States of America
Florida Georgia Line,United States of America
Luke Bryan,United States of America
Lil Durk,United States of America
Charlie Puth,United States of America
Machine Gun Kelly,United States of America
Nivea,United States of America
Avril Lavigne,Canada
Ed Sheeran,United Kingdom
Mac Miller,United States of America
Ty Dolla $ign,United States of America
6LACK,United States of America
Kygo,Norway
Miguel,United States of America
Wiz Khalifa,United States of America
Clean Bandit,United Kingdom
Demi Lovato,United States of America
Manuel Turizo,Colombia
J. Cole,United States of America
Childish Gambino,United States of America
Migos,United States of America
Kevin Gates,United States of America
YoungBoy Never Broke Again,United States of America
YBN Nahmir,United States of America
Yo Gotti,United States of America
Anne-Marie,Belgium
Kenny Chesney,United States of America
Elley Duhé,United States of America
Ciara,United States of America
Becky G,United States of America
Natti Natasha,Dominican Republic
Morgan Evans,Australia
Janet Jackson,United States of America
Daddy Yankee,United States of America
Alessia Cara,Canada
Tori Kelly,United States of America
Chris Lane,Australia
Labrinth,United Kingdom
Jason Mraz,United States of America
The Weeknd,Canada
Bryson Tiller,United States of America
Jake Owen,United States of America
A$AP Rocky,United States of America
Lil Dicky,United States of America
Chris Brown,United States of America
Skepta,United Kingdom
Lil Skies,United States of America
Static Major,United States of America
David Lee Murphy,United States of America
Iggy Azalea,United States of America
Kehlani,United States of America
Sam Hunt,United States of America
Wisin,United States of America
Reik,Mexico
Blake Shelton,United States of America
Rae Sremmurd,United States of America
Juicy J,United States of America
Kendrick Lamar,United States of America
Pitbull,United States of America
El Chombo,Panama
Cutty Ranks,Jamaica
KIDS SEE GHOSTS,United States of America
The Beach Boys,United States of America
Louis Prima,United States of America
George Benson,United States of America
Gorillaz,United Kingdom
SZA,United States of America
Moby,United States of America
Pusha T,United States of America
James Blake,United Kingdom
Jay Rock,United States of America
Jennifer Lopez,United States of America
Logic,United States of America
Pharrell Williams,United States of America
Meghan Trainor,United States of America
Bhad Bhabie,United States of America
Justin Timberlake,United States of America
Avicii,Sweden
NF,United States of America
Portugal. The Man,United States of America
Keala Settle,United States of America
MAX,Japan
Thomas Rhett,United States of America
Beyoncé,United States of America
High Valley,Canada
Kali Uchis,Colombia
Scotty McCreery,United States of America
Derez De’Shon,United States of America
Alice Merton,Canada
Gesaffelstein,France
Luis Fonsi,United States of America
Famous Dex,United States of America
Lil Xan,United States of America
Joey Bada$$,United States of America
DeJ Loaf,United States of America
A$AP Ferg,United States of America
Young Sinatra,United States of America
Macklemore,United States of America
Kesha,United States of America
Fetty Wap,United States of America
The Jackson 5,United States of America
Walker Hayes,United States of America
Alesso,Sweden
Hailee Steinfeld,United States of America
Rita Ora,United Kingdom
Liam Payne,United Kingdom
WALK THE MOON,United States of America
Zendaya,United States of America
Zac Efron,United States of America
Brett Young,United States of America
Oh Wonder,United Kingdom
LANCO,United States of America
Hugh Jackman,Australia
Farruko,United States of America
Rvssian,Jamaica
Enrique Iglesias,Spain
Julia Michaels,United States of America
Niall Horan,Ireland
Sia,Australia
ZAYN,United Kingdom
Kelly Clarkson,United States of America
Nicky Jam,United States of America
Jake Paul,United States of America
Team 10,United States of America
Shakira,Colombia
Lil Tracy,United States of America
Skylar Grey,United States of America
Tim McGraw,United States of America
Faith Hill,United States of America
Lauren Alaina,United States of America
Kane Brown,United States of America
Coldplay,United Kingdom
Rihanna,United States of America
Trey Songz,United States of America
BloodPop®,Canada
James Arthur,United Kingdom
Cheat Codes,United States of America
Dustin Lynch,United States of America
Young Dolph,United States of America
Billy Currington,United States of America
Fat Joe,United States of America
Joell Ortiz,United States of America
Gilberto Santa Rosa,United States of America
Anthony Ramos,United States of America
Rita Moreno,United States of America
Marc Anthony,United States of America
Gloria Estefan,United States of America
Pedro Capó,United States of America
Dessa,United States of America
Ednita Nazario,United States of America
Rubén Blades,Panama
Tommy Torres,United States of America
Alex Lacamoire,United States of America
A Great Big World,United States of America
Christina Aguilera,United States of America
The Revivalists,United States of America
Lorde,New Zealand
Midland,United Kingdom
Katy Perry,United States of America
Billy Ray Cyrus,United States of America
Justin Moore,United States of America
YFN Lucci,United States of America
David Guetta,France
Major Lazer,Jamaica
Tee Grizzley,United States of America
Ayo & Teo,United States of America
Jason Derulo,United States of America
Zion & Lennox,United States of America
Descemer Bueno,Cuba
Backstreet Boys,United States of America
Linkin Park,United States of America
Kiiara,United States of America
Rascal Flatts,United States of America
Harry Styles,United Kingdom
Russ,United States of America
Jeremih,United States of America
Darius Rucker,United States of America
Plies,United States of America
Josh Turner,United States of America
Sean Paul,Jamaica
Martin Garrix,Netherlands
Troye Sivan,Australia
Lauren Jauregui,United States of America
Skip Marley,Jamaica
Daft Punk,France
Lord Huron,United States of America
Ryan Riback,Australia
Starley,Australia
Lana Del Rey,United States of America
Paramore,United States of America
Train,United States of America
Michael Ray,United States of America
Adele,United Kingdom
Black Coffee,South Africa
Jorja Smith,United Kingdom
Giggs,United Kingdom
Sampha,United Kingdom
Noah Cyrus,United States of America
Aminé,United States of America
Frank Ocean,United States of America
Vince Gill,United States of America
Jon Bellion,United States of America
John Legend,United States of America
Hey Violet,United States of America
Nick Jonas,United States of America
Brett Eldredge,United States of America
Marc E. Bassy,United States of America
Daya,United States of America
Fitz and The Tantrums,United States of America
Keith Urban,Australia
Andy Grammer,United States of America
Spooks,United States of America
MØ,Denmark
John Mayer,United States of America
Wale,United States of America
Phoebe Ryan,United States of America
Louis Tomlinson,United Kingdom
Young M.A,United States of America
gnash,United States of America
X Ambassadors,United States of America
Pentatonix,United States of America
Trouble,United States of America
George Michael,United Kingdom
Sundance Head,United States of America
Kyla,Philippines
Desiigner,United States of America
Fifth Harmony,United States of America
Zara Larsson,Sweden
Tinashe,United States of America
Britney Spears,United States of America
LunchMoney Lewis,United States of America
Flo Rida,United States of America
XYLØ,United States of America
Little Mix,United Kingdom
Tove Lo,Sweden
Kungs,France
Kamaiyah,United States of America
Elle King,United States of America
ScHoolboy Q,United States of America
William Michael Morgan,United States of America
Grace,United Kingdom
Solange,United States of America
Mike Posner,United States of America
Flume,Australia
Kai,United States of America
Lukas Graham,Denmark
Skrillex,United States of America
DNCE,United States of America
Carrie Underwood,United States of America
MadeinTYO,United States of America
Galantis,Sweden
James Bay,United Kingdom
Remy Ma,United States of America
Betty Wright,United States of America
OneRepublic,United States of America
Fuse ODG,United Kingdom
Ruth B.,Canada
MNEK,United Kingdom
Fergie,United States of America
David Nail,United States of America
The Lumineers,United States of America
Carlos Vives,Colombia
O.T. Genasis,United States of America
Disturbed,United States of America
Red Hot Chili Peppers,United States of America
Belly,United States of America
Alan Walker,Norway
Young Greatness,United States of America
Pimp C,United States of America
dvsn,Canada
Prince,United States of America
Lee Brice,United States of America
