ano,name_artist,Gêneros,num
2017,8-Bit Misfits,8-bit,1
2016,Pentatonix,a cappella,1
2015,Pentatonix,a cappella,1
2015,Pentatonix,a cappella,1
2012,Pentatonix,a cappella,1
2012,The Manhattan Transfer,a cappella,1
2008,The Madison Project,a cappella,1
1984,The Manhattan Transfer,a cappella,1
1983,The Manhattan Transfer,a cappella,1
1982,The Nylons,a cappella,1
1981,The Manhattan Transfer,a cappella,1
1979,The Manhattan Transfer,a cappella,1
1979,The Manhattan Transfer,a cappella,1
1970,The Manhattan Transfer,a cappella,1
2015,Lil' Louis,acid house,1
2010,S'Express,acid house,1
1992,The KLF,acid house,1
1992,The KLF,acid house,1
1992,The KLF,acid house,1
1990,The Shamen,acid house,1
2019,Average White Band,acid jazz,1
2017,Thievery Corporation,acid jazz,1
2016,Average White Band,acid jazz,1
2016,Average White Band,acid jazz,1
2013,Jamiroquai,acid jazz,1
2009,Average White Band,acid jazz,1
2009,Average White Band,acid jazz,1
2009,Average White Band,acid jazz,1
1994,The Brand New Heavies,acid jazz,1
1994,The Brand New Heavies,acid jazz,1
1993,Us3,acid jazz,1
1992,Stereo MC's,acid jazz,1
1992,Stereo MC's,acid jazz,1
1990,Stereo MC's,acid jazz,1
1980,Average White Band,acid jazz,1
1973,Donald Byrd,acid jazz,1
1972,The Dynamics,acid jazz,1
2015,Slim Harpo,acoustic blues,1
2014,Koko Taylor,acoustic blues,1
2016,Suy Galvez,acoustic opm,1
2019,Five For Fighting,acoustic pop,1
2019,Josh Kelley,acoustic pop,1
2018,Jason Mraz,acoustic pop,1
2017,Sister Hazel,acoustic pop,1
2015,Ben Rector,acoustic pop,1
2014,Ingrid Michaelson,acoustic pop,1
2013,Sara Bareilles,acoustic pop,1
2013,Sara Bareilles,acoustic pop,1
2013,Gavin DeGraw,acoustic pop,1
2012,Jason Mraz,acoustic pop,1
2011,Gavin DeGraw,acoustic pop,1
2011,Matt Nathanson,acoustic pop,1
2011,Mat Kearney,acoustic pop,1
2010,Sara Bareilles,acoustic pop,1
2009,Rob Thomas,acoustic pop,1
2009,Kris Allen,acoustic pop,1
2009,Rob Thomas,acoustic pop,1
2009,Rob Thomas,acoustic pop,1
2009,Mat Kearney,acoustic pop,1
2009,Parachute,acoustic pop,1
2009,Kris Allen,acoustic pop,1
2009,Kris Allen,acoustic pop,1
2009,Landon Pigg,acoustic pop,1
2009,Anya Marina,acoustic pop,1
2008,Jason Mraz,acoustic pop,1
2008,Jason Mraz,acoustic pop,1
2008,O.A.R.,acoustic pop,1
2008,Ray LaMontagne,acoustic pop,1
2008,Ingrid Michaelson,acoustic pop,1
2008,Gavin DeGraw,acoustic pop,1
2008,Gavin DeGraw,acoustic pop,1
2008,Ferras,acoustic pop,1
2008,Joshua Radin,acoustic pop,1
2008,Augustana,acoustic pop,1
2007,Matt Nathanson,acoustic pop,1
2007,Sara Bareilles,acoustic pop,1
2007,Ingrid Michaelson,acoustic pop,1
2007,Rob Thomas,acoustic pop,1
2006,Five For Fighting,acoustic pop,1
2006,Teddy Geiger,acoustic pop,1
2006,Mat Kearney,acoustic pop,1
2005,Rob Thomas,acoustic pop,1
2005,Rob Thomas,acoustic pop,1
2005,Rob Thomas,acoustic pop,1
2005,Rob Thomas,acoustic pop,1
2005,Jason Mraz,acoustic pop,1
2005,Augustana,acoustic pop,1
2005,Anna Nalick,acoustic pop,1
2004,Gavin DeGraw,acoustic pop,1
2003,Howie Day,acoustic pop,1
2003,Gavin DeGraw,acoustic pop,1
2003,Five For Fighting,acoustic pop,1
2002,Jason Mraz,acoustic pop,1
2000,Five For Fighting,acoustic pop,1
2000,Sister Hazel,acoustic pop,1
1999,Edwin McCain,acoustic pop,1
1998,David Gray,acoustic pop,1
1997,Edwin McCain,acoustic pop,1
1995,Edwin McCain,acoustic pop,1
2019,Peabo Bryson,adult standards,1
2019,James Ingram,adult standards,1
2019,Chicago,adult standards,1
2019,Chicago,adult standards,1
2019,Seals and Crofts,adult standards,1
2019,Dionne Warwick,adult standards,1
2019,Brook Benton,adult standards,1
2019,Trini Lopez,adult standards,1
2019,Frankie Valli & The Four Seasons,adult standards,1
2019,Herman's Hermits,adult standards,1
2019,Ben E. King,adult standards,1
2019,Herman's Hermits,adult standards,1
2019,The Drifters,adult standards,1
2019,The Association,adult standards,1
2019,The Searchers,adult standards,1
2019,The Chiffons,adult standards,1
2019,The Drifters,adult standards,1
2019,Herman's Hermits,adult standards,1
2019,Frankie Valli & The Four Seasons,adult standards,1
2019,Trini Lopez,adult standards,1
2019,Sandie Shaw,adult standards,1
2019,Sandie Shaw,adult standards,1
2019,Sandie Shaw,adult standards,1
2019,Al Martino,adult standards,1
2019,The Chiffons,adult standards,1
2019,The Everly Brothers,adult standards,1
2019,The Searchers,adult standards,1
2019,The Coasters,adult standards,1
2019,The Chiffons,adult standards,1
2019,Linda Ronstadt,adult standards,1
2019,The Searchers,adult standards,1
2019,Brook Benton,adult standards,1
2019,Peabo Bryson,adult standards,1
2018,Rod Stewart,adult standards,1
2018,Neil Diamond,adult standards,1
2018,Kenny Rogers,adult standards,1
2018,Kenny Rogers,adult standards,1
2018,Air Supply,adult standards,1
2018,Bette Midler,adult standards,1
